地区,センター,もやせる,プラスチック製容器包装,紙製容器包装,古紙・古着,金属
橋北地区 秋鹿町,松江市,月 木,火,金1 金3,金2 金4,金4
橋南地区 青葉台,松江市,火 金,水,月2 月4,木2 木4,木2
橋南地区 上乃木一～三丁目,松江市,火 金,月,木2 木4,水2 水4,火4
橋南地区 上乃木四～七丁目,松江市,火 金,月,木1 木3,水1 水3,金3
橋南地区 上乃木八～十丁目,松江市,火 金,月,木1 木3,水1 水3,木4
橋北地区 朝酌町,松江市,月 木,水,火1 火3,木1 木3,月4
橋南地区 朝日町,松江市,月 木,金,木2 木4,水2 水4,木3
橋南地区 意宇町,松江市,火 金,水,月2 月4,木2 木4,木2
橋北地区 石橋町,松江市,月 木,金,月1 月3,火2 火4,木1
橋南地区 伊勢宮町,松江市,月 木,金,木2 木4,水2 水4,木3
橋南地区 一の谷町,松江市,火 金,月,木1 木3,水1 水3,木4
橋南地区 魚町,松江市,月 木,金,木2 木4,水2 水4,木3
橋北地区 うぐいす台,松江市,月 木,金,月1 月3,火2 火4,木1
橋北地区 打出町,松江市,月 木,火,金1 金3,金2 金4,金4
橋北地区 内中原町,松江市,月 木,金,月1 月3,火2 火4,水4
橋北地区 邑生町,松江市,月 木,水,火1 火3,木1 木3,金1
橋北地区 大井町,松江市,月 木,水,火1 火3,木1 木3,月4
橋北地区 大垣町,松江市,月 木,火,金1 金3,金2 金4,金4
橋南地区 大草町,松江市,火 金,水,月2 月4,木2 木4,火3
橋北地区 大野町,松江市,月 木,火,金1 金3,金2 金4,金4
橋南地区 大庭町（国道４３２号線から東側）,松江市,火 金,水,月2 月4,木2 木4,火3
橋南地区 大庭町（国道４３２号線から西側）,松江市,火 金,木,水2 水4,月1 月3,水3
橋北地区 大海崎町,松江市,月 木,水,火1 火3,木1 木3,月4
橋北地区 岡本町,松江市,月 木,火,金1 金3,金2 金4,金4
橋北地区 奥谷町,松江市,月 木,金,月1 月3,火2 火4,木1
橋南地区 御手船場町,松江市,月 木,金,木2 木4,水2 水4,木3
橋北地区 魚瀬町,松江市,月 木,火,金1 金3,金2 金4,金4
橋北地区 苧町,松江市,月 木,金,月1 月3,火2 火4,水4
橋北地区 学園一丁目,松江市,月 木,金,水1 水3,火1 火3,月2
橋北地区 学園二丁目,松江市,月 木,金,水1 水3,火1 火3,火2
橋北地区 学園南一･二丁目,松江市,月 木,水,火1 火3,木1 木3,月4
橋北地区 鹿島町,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 春日町（松江恵曇線から西側）,松江市,月 木,火,金1 金3,金2 金4,月1
橋北地区 春日町（松江恵曇線から東側）,松江市,月 木,金,月1 月3,火2 火4,木1
橋北地区 片原町,松江市,月 木,金,月1 月3,火2 火4,水4
橋北地区 上宇部尾町,松江市,月 木,水,火1 火3,木1 木3,金1
橋北地区 上大野町,松江市,月 木,火,金1 金3,金2 金4,金4
橋北地区 上佐陀町,松江市,月 木,火,金1 金3,金2 金4,月1
橋北地区 上東川津町,松江市,月 木,水,火1 火3,木1 木3,月4
橋北地区 上本庄町,松江市,月 木,水,火1 火3,木1 木3,金1
橋北地区 川原町,松江市,月 木,水,火1 火3,木1 木3,金1
橋北地区 北田町,松江市,月 木,金,水1 水3,火1 火3,月2
橋北地区 北堀町,松江市,月 木,金,月1 月3,火2 火4,木1
橋北地区 国屋町,松江市,月 木,火,金1 金3,金2 金4,月1
橋北地区 黒田町（城山西通りから西側）,松江市,月 木,火,金1 金3,金2 金4,月1
橋北地区 黒田町（城山西通りから東側）,松江市,月 木,金,月1 月3,火2 火4,木1
橋北地区 古志町,松江市,月 木,火,金1 金3,金2 金4,金4
