地区;センター;Combustible Waste;Plastic containers and packages;Paper containers and packages;Used Paper and Clothing;Metal Waste
North Side【橋北地区】_Aikacho（秋鹿町）;松江市;月 木;火;金1 金3;金2 金4;金4
South Side【橋南地区】_Aobadai（青葉台）;松江市;火 金;水;月2 月4;木2 木4;木2
South Side【橋南地区】_Agenogi 1 to 3-chome（上乃木一～三丁目）;松江市;火 金;月;木2 木4;水2 水4;火4
South Side【橋南地区】_Agenogi 4 to 7-chome（上乃木四～七丁目）;松江市;火 金;月;木1 木3;水1 水3;金3
South Side【橋南地区】_Agenogi 8 to 10-chome（上乃木八～十丁目）;松江市;火 金;月;木1 木3;水1 水3;木4
North Side【橋北地区】_Asakumicho（朝酌町）;松江市;月 木;水;火1 火3;木1 木3;月4
South Side【橋南地区】_Asahimachi（朝日町）;松江市;月 木;金;木2 木4;水2 水4;木3
South Side【橋南地区】_Iucho（意宇町）;松江市;火 金;水;月2 月4;木2 木4;木2
North Side【橋北地区】_Ishibashicho（石橋町）;松江市;月 木;金;月1 月3;火2 火4;木1
South Side【橋南地区】_Isemiyacho（伊勢宮町）;松江市;月 木;金;木2 木4;水2 水4;木3
South Side【橋南地区】_Ichinotanicho（一の谷町）;松江市;火 金;月;木1 木3;水1 水3;木4
South Side【橋南地区】_Uomachi（魚町）;松江市;月 木;金;木2 木4;水2 水4;木3
North Side【橋北地区】_Uguisudai（うぐいす台）;松江市;月 木;金;月1 月3;火2 火4;木1
North Side【橋北地区】_Uchidecho（打出町）;松江市;月 木;火;金1 金3;金2 金4;金4
North Side【橋北地区】_Uchinakabaracho（内中原町）;松江市;月 木;金;月1 月3;火2 火4;水4
North Side【橋北地区】_Ocho（邑生町）;松江市;月 木;水;火1 火3;木1 木3;金1
North Side【橋北地区】_Oicho（大井町）;松江市;月 木;水;火1 火3;木1 木3;月4
North Side【橋北地区】_Ogakicho（大垣町）;松江市;月 木;火;金1 金3;金2 金4;金4
South Side【橋南地区】_Okusacho（大草町）;松江市;火 金;水;月2 月4;木2 木4;火3
North Side【橋北地区】_Onocho（大野町）;松江市;月 木;火;金1 金3;金2 金4;金4
South Side【橋南地区】_Obacho(East side from R432)（大庭町（国道４３２号線から東側））;松江市;火 金;水;月2 月4;木2 木4;火3
South Side【橋南地区】_Obacho(West side from R432)（大庭町（国道４３２号線から西側））;松江市;火 金;木;水2 水4;月1 月3;水3
North Side【橋北地区】_Omisakicho（大海崎町）;松江市;月 木;水;火1 火3;木1 木3;月4
North Side【橋北地区】_Okamotocho（岡本町）;松江市;月 木;火;金1 金3;金2 金4;金4
North Side【橋北地区】_Okudanicho（奥谷町）;松江市;月 木;金;月1 月3;火2 火4;木1
South Side【橋南地区】_Otesembacho（御手船場町）;松江市;月 木;金;木2 木4;水2 水4;木3
North Side【橋北地区】_Onozecho（魚瀬町）;松江市;月 木;火;金1 金3;金2 金4;金4
North Side【橋北地区】_Omachi（苧町）;松江市;月 木;金;月1 月3;火2 火4;水4
North Side【橋北地区】_Gakuen 1-chome（学園一丁目）;松江市;月 木;金;水1 水3;火1 火3;月2
North Side【橋北地区】_Gakuen 2-chome（学園二丁目）;松江市;月 木;金;水1 水3;火1 火3;火2
North Side【橋北地区】_Gakuenminami 1 to 2-chome（学園南一･二丁目）;松江市;月 木;水;火1 火3;木1 木3;月4
North Side【橋北地区】_Kashimacho（鹿島町）;松江市;月 木;火;金2 金4;金1 金3;水1
North Side【橋北地区】_Kasugacho(West side from MatsueEtomo Road)（春日町（松江恵曇線から西側））;松江市;月 木;火;金1 金3;金2 金4;月1
North Side【橋北地区】_Kasugacho(East side from MatsueEtomo Road)（春日町（松江恵曇線から東側））;松江市;月 木;金;月1 月3;火2 火4;木1
North Side【橋北地区】_Kataharacho（片原町）;松江市;月 木;金;月1 月3;火2 火4;水4
North Side【橋北地区】_Kamiubeocho（上宇部尾町）;松江市;月 木;水;火1 火3;木1 木3;金1
North Side【橋北地区】_Kamionocho（上大野町）;松江市;月 木;火;金1 金3;金2 金4;金4
North Side【橋北地区】_Kamisadacho（上佐陀町）;松江市;月 木;火;金1 金3;金2 金4;月1
North Side【橋北地区】_Kamihigashikawatsucho（上東川津町）;松江市;月 木;水;火1 火3;木1 木3;月4
North Side【橋北地区】_Kamihonjocho（上本庄町）;松江市;月 木;水;火1 火3;木1 木3;金1
North Side【橋北地区】_Kawaharacho（川原町）;松江市;月 木;水;火1 火3;木1 木3;金1
North Side【橋北地区】_Kitatamachi（北田町）;松江市;月 木;金;水1 水3;火1 火3;月2
North Side【橋北地区】_Kitahoricho（北堀町）;松江市;月 木;金;月1 月3;火2 火4;木1
North Side【橋北地区】_Kuyacho（国屋町）;松江市;月 木;火;金1 金3;金2 金4;月1
North Side【橋北地区】_Kurodacho(West side from Jozan-Nishi St.)（黒田町（城山西通りから西側））;松江市;月 木;火;金1 金3;金2 金4;月1
North Side【橋北地区】_Kurodacho(East side from Jozan-Nishi St.)（黒田町（城山西通りから東側））;松江市;月 木;金;月1 月3;火2 火4;木1
North Side【橋北地区】_Koshicho（古志町）;松江市;月 木;火;金1 金3;金2 金4;金4
South Side【橋南地区】_Koshibara 1 to 2-chome（古志原一・二丁目）;松江市;火 金;月;木1 木3;水1 水3;金3
South Side【橋南地区】_Koshibara 3 to 7-chome（古志原三～七丁目）;松江市;火 金;月;木1 木3;水1 水3;木4
North Side【橋北地区】_Kososhicho（古曽志町）;松江市;月 木;火;金1 金3;金2 金4;金4
North Side【橋北地区】_Komozucho（薦津町）;松江市;月 木;火;金1 金3;金2 金4;月1
South Side【橋南地区】_Saikamachi(West side from R432)（雑賀町（国道４３２号線から西側））;松江市;火 金;月;木2 木4;水2 水4;火4
South Side【橋南地区】_Saikamachi(East side from R432)（雑賀町（国道４３２号線から東側））;松江市;火 金;月;木2 木4;水2 水4;水2
South Side【橋南地区】_Saiwaimachi（幸町）;松江市;火 金;月;木2 木4;水2 水4;火4
