type;name;notice;furigana
Combustible Waste;Aluminum Foil;;A
Combustible Waste;Ash;Please include moisture and please dispose of it with combustible waste.;A
Combustible Waste;Bag;;B
Combustible Waste;Ballpoint Pen;;B
Combustible Waste;Bathroom Lid;Those with a size exceeding the length from the handle to the bottom of the designated bag should be put out with bulky refuse.;B
Combustible Waste;Bedspread;;B
Combustible Waste;Boots;;B
Combustible Waste;Bottle Lid (Other Than Above);;B
Combustible Waste;Bottles (Except For Food And Drink);;B
Combustible Waste;Bowling Ball;;B
Combustible Waste;Branch Tree (Pruned Branch);;B
Combustible Waste;Broken Bottle;Please wrap it in paper etc and express it as caution and please dispose.;B
Combustible Waste;Brush Pen;;B
Combustible Waste;Brush Tube;Because it is difficult to wash it thoroughly please put it out in a combustible waste.;B
Combustible Waste;Canvas shoes;;C
Combustible Waste;Carpet;;C
Combustible Waste;Cassette Tape;;C
Combustible Waste;Cat litter;;C
Combustible Waste;CD;;C
Combustible Waste;Ceramics;;C
Combustible Waste;Chopsticks (Other Than Wooden And Metal);;C
Combustible Waste;Clear File;;C
Combustible Waste;Clip (Other Than Metal);;C
Combustible Waste;Coal;;C
Combustible Waste;Color Pencil;;C
Combustible Waste;Cosmetics Bottle;;C
Combustible Waste;Cup;;C
Combustible Waste;Cup (Glass · Ceramic);;C
Combustible Waste;Cup Noodle Seasoning · Milk Bag;Because it is difficult to wash it thoroughly please take out as a combustible waste.;C
Combustible Waste;Curtain;;C
Combustible Waste;Diapers;Please remove the dirt and take out it.;D
Combustible Waste;Dish;;D
Combustible Waste;Disposable Chopsticks (Except Wooden);;D
Combustible Waste;Disposable Diaper;Please remove the dirt and take out it.;D
Combustible Waste;Edible Oil (Vegetable Oil);Please use products to solidify waste edible oil soak it in cloth newspaper etc. and put it out in a combustible waste.;E
Combustible Waste;Electric Blanket;;E
Combustible Waste;Electric Carpet;;E
Combustible Waste;Electric Foot Warmer (Other Than Metal);;E
Combustible Waste;Eraser;;E
Combustible Waste;Eyeglass Lens;;E
Combustible Waste;Facial Wash Tube;Because it is difficult to wash it thoroughly please put it out in a combustible waste.;F
Combustible Waste;Film (Negative);;F
Combustible Waste;Fireworks;Please include water and get out.;F
Combustible Waste;Flashlight;;F
Combustible Waste;Flower Arrangement;;F
Combustible Waste;Flower Pot;;F
Combustible Waste;Fluorescent Lamp;A fluorescent tube with a length of [length + 3 cm from the bottom of the garbage bag to the handle part] can be put out.;F
Combustible Waste;Futon;;F
Combustible Waste;Futon Cover;;F
Combustible Waste;Glass Products;Wrap it in paper etc. please specify caution.;G
Combustible Waste;Glasses (Made Of Plastic);;G
Combustible Waste;Glasses Case;;G
Combustible Waste;Grass;Please remove the mud.;G
Combustible Waste;Hand Cream Container;Because it is difficult to wash it thoroughly please put it out in a combustible waste.;H
Combustible Waste;Helmet;;H
Combustible Waste;Highlighter;;H
Combustible Waste;Hose;Please bundle it so that it will not unravel please put it in the specified bag and put it out.;H
Combustible Waste;Ketchup'S Tube;Because it is difficult to wash it thoroughly please take out as a combustible waste.;K
Combustible Waste;Light Bulb;Wrap it in paper etc. please specify caution.;L
Combustible Waste;Lime;;L
Combustible Waste;Lunch Box (Other Than Above);;L
Combustible Waste;Magic;;M
Combustible Waste;Major;;M
Combustible Waste;MD;;M
Combustible Waste;Measuring Cup (Other Than Metal);;M
Combustible Waste;Mechanical Pencil;;M
Combustible Waste;Natto Container;Because it is difficult to wash it thoroughly please put it out in a combustible waste.;N
Combustible Waste;Ogallite;;O
Combustible Waste;Oil (Vegetable Oil);Please use products that consolidate waste edible oil etc. soak it in cloth newspaper etc. and put it in the waste garbage.;O
Combustible Waste;Paint (Tube);;P
Combustible Waste;Paint Tube;Because it is difficult to wash it thoroughly please put it out in a combustible waste.;P
Combustible Waste;Pan Lid (Other Than Metal);;P
Combustible Waste;Paper Cup (No Display);;P
Combustible Waste;Paste;;P
Combustible Waste;Pencil;;P
Combustible Waste;Pet Milk;;P
Combustible Waste;Plastic Container;;P
Combustible Waste;Raincoat;;R
Combustible Waste;Rap;;R
Combustible Waste;Raw Garbage;Please drain water well and please put out.;R
Combustible Waste;Ring File;;R
Combustible Waste;Rope;Please bundle it so as not to unravel and put it in the designated bag and take out it.;R
Combustible Waste;Ruler;;R
Combustible Waste;Sandals;;S
Combustible Waste;Seasoning Sachet;;S
Combustible Waste;Sheet;;S
Combustible Waste;Shoes;;S
Combustible Waste;Skis;Do not put anything that is large and does not enter the garbage bag. Please apply for large items with large waste.(phone 27-1570);S
Combustible Waste;Slipper;;S
Combustible Waste;Stick;;S
Combustible Waste;Stockings;;S
Combustible Waste;Styrofoam (Without Plastic Marks);;S
Combustible Waste;Tableware (Other Than Metal);;T
Combustible Waste;Teapot;;T
